Algorithm,Log Source,Log,Complete-Window Size,Detection-Window Size,Stable Period,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),Seconds per Case,P-Value,Min Adaptive Window,Max Adaptive Window,MRID,Epsilon,Window Size,SW Step Size,ADWIN Step Size
LCDD,AdditionalLogs,recurring_drift_03,300.0,300.0,200.0,"[301, 631, 962, 1284]","[500, 1000]",0.6666666666666666,84.5,00:00:00,0.0159184000003733,1.0612266666915576e-05,,,,,,,,
Process Graph Metrics,AdditionalLogs,gradual_drift_06,,,,"[464, 972]","[500, 1000]",1.0,32.0,00:00:16,16.542502199998125,0.0118160729999986,0.005,200.0,600.0,,,,,
LCDD,AdditionalLogs,sudden_drift_03,1200.0,1200.0,200.0,[],"[500, 1000]",,,00:00:00,0.0081642999939504,5.442866662633606e-06,,,,,,,,
LCDD,AdditionalLogs,gradual_drift_03,800.0,800.0,10.0,[830],"[500, 1000]",0.6666666666666666,170.0,00:00:00,0.0042455000002519,3.0325000001799447e-06,,,,,,,,
Process Graph Metrics,AdditionalLogs,recurring_drift_04,,,,"[622, 1162]","[500, 1000]",1.0,142.0,00:00:02,2.6520455999998376,0.0017680303999998,0.1,300.0,500.0,,,,,
Process Graph Metrics,AdditionalLogs,sudden_drift_04,,,,"[577, 1327]","[500, 1000]",0.5,77.0,00:00:02,2.241656400001375,0.0014944376000009,0.005,200.0,600.0,,,,,
LCDD,AdditionalLogs,recurring_drift_07,1200.0,1200.0,100.0,[],"[500, 1000]",,,00:00:00,0.0105289999992237,7.019333332815828e-06,,,,,,,,
Process Graph Metrics,AdditionalLogs,gradual_drift_03,,,,"[530, 1083]","[500, 1000]",1.0,56.5,00:00:01,1.8969037999995635,0.0013549312857139,0.005,100.0,600.0,,,,,
Process Graph Metrics,AdditionalLogs,recurring_drift_05,,,,"[604, 1144]","[500, 1000]",1.0,124.0,00:00:02,2.8198589000021457,0.0018799059333347,0.0001,300.0,500.0,,,,,
Process Graph Metrics,AdditionalLogs,recurring_drift_00,,,,"[553, 1072]","[500, 1000]",1.0,62.5,00:00:00,0.793880099998205,0.0005292533999988,0.1,200.0,500.0,,,,,
Process Graph Metrics,AdditionalLogs,gradual_drift_06,,,,"[501, 982]","[500, 1000]",1.0,9.5,00:00:12,12.665148100000806,0.0090465343571434,0.0001,300.0,500.0,,,,,
Process Graph Metrics,AdditionalLogs,gradual_drift_00,,,,"[716, 1364]","[500, 1000]",,,00:00:01,1.7443591999981436,0.0012459708571415,0.0001,100.0,700.0,,,,,
LCDD,AdditionalLogs,sudden_drift_05,600.0,600.0,150.0,[1000],"[500, 1000]",0.6666666666666666,0.0,00:00:00,0.0188130000024102,1.254200000160684e-05,,,,,,,,
Process Graph Metrics,AdditionalLogs,recurring_drift_00,,,,"[531, 1059]","[500, 1000]",1.0,45.0,00:00:02,2.6577698000037344,0.0017718465333358,0.05,300.0,700.0,,,,,
Process Graph Metrics,AdditionalLogs,sudden_drift_02,,,,"[451, 1056, 1493]","[500, 1000]",0.8,52.5,00:00:01,1.9569547999999488,0.0013046365333332,0.05,200.0,500.0,,,,,
Process Graph Metrics,AdditionalLogs,recurring_drift_02,,,,"[704, 1353]","[500, 1000]",,,00:00:05,5.350879600002372,0.0035672530666682,0.1,100.0,600.0,,,,,
Process Graph Metrics,AdditionalLogs,gradual_drift_07,,,,"[648, 1555]","[500, 1000]",0.5,148.0,00:00:06,6.328419799996482,0.0045202998571403,0.0001,100.0,700.0,,,,,
Process Graph Metrics,AdditionalLogs,recurring_drift_01,,,,"[329, 629, 989, 1539]","[500, 1000]",0.6666666666666666,70.0,00:00:01,1.762049400000251,0.0011746996000001,0.05,200.0,400.0,,,,,
Process Graph Metrics,AdditionalLogs,gradual_drift_05,,,,"[483, 1009, 1332]","[500, 1000]",0.8,13.0,00:00:02,2.1877093000002787,0.0015626495000001,0.05,200.0,400.0,,,,,
LCDD,AdditionalLogs,recurring_drift_00,800.0,800.0,10.0,[881],"[500, 1000]",0.6666666666666666,119.0,00:00:00,0.0064858999976422,4.323933331761509e-06,,,,,,,,
