Algorithm,Log Source,Log,MRID,Epsilon,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),Seconds per Case
Zheng DBSCAN,Ostovar,Composite_IOR_output_IOR_2,800,80.0,[np.float64(1490.5421166306696)],"[999, 1999]",,,00:00:05,5.012994299991988,0.00167155528509236
Zheng DBSCAN,Ostovar,Composite_IOR_output_IOR_2,800,160.0,[np.float64(1490.5421166306696)],"[999, 1999]",,,00:00:05,5.012994299991988,0.00167155528509236
Zheng DBSCAN,Ostovar,Composite_IOR_output_IOR_2,800,240.0,[np.float64(1490.5421166306696)],"[999, 1999]",,,00:00:05,5.012994299991988,0.00167155528509236
Zheng DBSCAN,Ostovar,Composite_IOR_output_IOR_2,800,320.0,[np.float64(1490.5421166306696)],"[999, 1999]",,,00:00:05,5.012994299991988,0.00167155528509236
Zheng DBSCAN,Ostovar,Composite_IOR_output_IOR_2,800,400.0,[np.float64(1490.5421166306696)],"[999, 1999]",,,00:00:05,5.012994299991988,0.00167155528509236
Zheng DBSCAN,Ostovar,Nested_RIO_output_RIO_5,500,50.0,[np.float64(1500.2268811028146)],"[999, 1999]",,,00:00:07,7.805547399999341,0.002602716705568303
Zheng DBSCAN,Ostovar,Nested_RIO_output_RIO_5,500,100.0,[np.float64(1500.2268811028146)],"[999, 1999]",,,00:00:07,7.805547399999341,0.002602716705568303
Zheng DBSCAN,Ostovar,Nested_RIO_output_RIO_5,500,150.0,[np.float64(1500.2268811028146)],"[999, 1999]",,,00:00:07,7.805547399999341,0.002602716705568303
Zheng DBSCAN,Ostovar,Nested_RIO_output_RIO_5,500,200.0,[np.float64(1500.2268811028146)],"[999, 1999]",,,00:00:07,7.805547399999341,0.002602716705568303
Zheng DBSCAN,Ostovar,Nested_RIO_output_RIO_5,500,250.0,[np.float64(1500.2268811028146)],"[999, 1999]",,,00:00:07,7.805547399999341,0.002602716705568303
Zheng DBSCAN,Ostovar,Composite_RIO_output_RIO_2,500,50.0,[np.float64(1491.5314240254575)],"[999, 1999]",,,00:00:06,6.296663100016303,0.0020995875625262764
Zheng DBSCAN,Ostovar,Composite_RIO_output_RIO_2,500,100.0,[np.float64(1491.5314240254575)],"[999, 1999]",,,00:00:06,6.296663100016303,0.0020995875625262764
Zheng DBSCAN,Ostovar,Composite_RIO_output_RIO_2,500,150.0,[np.float64(1491.5314240254575)],"[999, 1999]",,,00:00:06,6.296663100016303,0.0020995875625262764
Zheng DBSCAN,Ostovar,Composite_RIO_output_RIO_2,500,200.0,[np.float64(1491.5314240254575)],"[999, 1999]",,,00:00:06,6.296663100016303,0.0020995875625262764
Zheng DBSCAN,Ostovar,Composite_RIO_output_RIO_2,500,250.0,[np.float64(1491.5314240254575)],"[999, 1999]",,,00:00:06,6.296663100016303,0.0020995875625262764
Zheng DBSCAN,Ostovar,Nested_IOR_output_IOR_2,600,60.0,[np.float64(1497.9978134110788)],"[999, 1999]",,,00:00:07,7.2896378000150435,0.002430689496503849
Zheng DBSCAN,Ostovar,Nested_IOR_output_IOR_2,600,120.0,[np.float64(1497.9978134110788)],"[999, 1999]",,,00:00:07,7.2896378000150435,0.002430689496503849
Zheng DBSCAN,Ostovar,Nested_IOR_output_IOR_2,600,180.0,[np.float64(1497.9978134110788)],"[999, 1999]",,,00:00:07,7.2896378000150435,0.002430689496503849
Zheng DBSCAN,Ostovar,Nested_IOR_output_IOR_2,600,240.0,[np.float64(1497.9978134110788)],"[999, 1999]",,,00:00:07,7.2896378000150435,0.002430689496503849
Zheng DBSCAN,Ostovar,Nested_IOR_output_IOR_2,600,300.0,[np.float64(1497.9978134110788)],"[999, 1999]",,,00:00:07,7.2896378000150435,0.002430689496503849
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_cf,600,60.0,[],[499],,,00:00:00,0.17905350000364706,0.00017905350000364706
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_cf,600,120.0,[],[499],,,00:00:00,0.17905350000364706,0.00017905350000364706
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_cf,600,180.0,[],[499],,,00:00:00,0.17905350000364706,0.00017905350000364706
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_cf,600,240.0,[],[499],,,00:00:00,0.17905350000364706,0.00017905350000364706
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_cf,600,300.0,[],[499],,,00:00:00,0.17905350000364706,0.00017905350000364706
Zheng DBSCAN,Ostovar,Atomic_Loop_output_Loop_2,300,30.0,[np.float64(1475.7805575411007)],"[999, 1999]",,,00:00:05,5.213592500018422,0.00173844364788877
Zheng DBSCAN,Ostovar,Atomic_Loop_output_Loop_2,300,60.0,[np.float64(1475.7805575411007)],"[999, 1999]",,,00:00:05,5.213592500018422,0.00173844364788877
Zheng DBSCAN,Ostovar,Atomic_Loop_output_Loop_2,300,90.0,[np.float64(1475.7805575411007)],"[999, 1999]",,,00:00:05,5.213592500018422,0.00173844364788877
Zheng DBSCAN,Ostovar,Atomic_Loop_output_Loop_2,300,120.0,[np.float64(1475.7805575411007)],"[999, 1999]",,,00:00:05,5.213592500018422,0.00173844364788877
Zheng DBSCAN,Ostovar,Atomic_Loop_output_Loop_2,300,150.0,[np.float64(1475.7805575411007)],"[999, 1999]",,,00:00:05,5.213592500018422,0.00173844364788877
Zheng DBSCAN,Ostovar,Atomic_ParallelToSequence_output_ParallelToSequence_2,800,80.0,[np.float64(1526.2893954410308)],"[999, 1999]",,,00:00:06,6.050004899996566,0.002017340746914493
Zheng DBSCAN,Ostovar,Atomic_ParallelToSequence_output_ParallelToSequence_2,800,160.0,[np.float64(1526.2893954410308)],"[999, 1999]",,,00:00:06,6.050004899996566,0.002017340746914493
Zheng DBSCAN,Ostovar,Atomic_ParallelToSequence_output_ParallelToSequence_2,800,240.0,[np.float64(1526.2893954410308)],"[999, 1999]",,,00:00:06,6.050004899996566,0.002017340746914493
Zheng DBSCAN,Ostovar,Atomic_ParallelToSequence_output_ParallelToSequence_2,800,320.0,[np.float64(1526.2893954410308)],"[999, 1999]",,,00:00:06,6.050004899996566,0.002017340746914493
Zheng DBSCAN,Ostovar,Atomic_ParallelToSequence_output_ParallelToSequence_2,800,400.0,[np.float64(1526.2893954410308)],"[999, 1999]",,,00:00:06,6.050004899996566,0.002017340746914493
Zheng DBSCAN,Ostovar,Composite_IOR_output_IOR_5,500,50.0,[np.float64(1502.4753877275791)],"[999, 1999]",,,00:00:05,5.117377799993847,0.0017063613871269913
Zheng DBSCAN,Ostovar,Composite_IOR_output_IOR_5,500,100.0,[np.float64(1502.4753877275791)],"[999, 1999]",,,00:00:05,5.117377799993847,0.0017063613871269913
Zheng DBSCAN,Ostovar,Composite_IOR_output_IOR_5,500,150.0,[np.float64(1502.4753877275791)],"[999, 1999]",,,00:00:05,5.117377799993847,0.0017063613871269913
Zheng DBSCAN,Ostovar,Composite_IOR_output_IOR_5,500,200.0,[np.float64(1502.4753877275791)],"[999, 1999]",,,00:00:05,5.117377799993847,0.0017063613871269913
Zheng DBSCAN,Ostovar,Composite_IOR_output_IOR_5,500,250.0,[np.float64(1502.4753877275791)],"[999, 1999]",,,00:00:05,5.117377799993847,0.0017063613871269913
Zheng DBSCAN,Ostovar,Atomic_Swap_output_Swap_5,600,60.0,[np.float64(1498.3983516483515)],"[999, 1999]",,,00:00:05,5.341795199987246,0.0017811921307059838
Zheng DBSCAN,Ostovar,Atomic_Swap_output_Swap_5,600,120.0,[np.float64(1498.3983516483515)],"[999, 1999]",,,00:00:05,5.341795199987246,0.0017811921307059838
Zheng DBSCAN,Ostovar,Atomic_Swap_output_Swap_5,600,180.0,[np.float64(1498.3983516483515)],"[999, 1999]",,,00:00:05,5.341795199987246,0.0017811921307059838
