Algorithm,Log Source,Log,Window Size,SW Step Size,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),Seconds per Case
Earth Mover's Distance,Ostovar,Atomic_SerialRemoval_output_SerialRemoval,100,2,"[np.int64(924), np.int64(1266), np.int64(1946), np.int64(2198)]","[999, 1999]",0.6666666666666666,64.0,00:02:36,156.37399729999015,0.05214204644881299
Earth Mover's Distance,Ceravolo,sudden_trace_noise20_1000_cd,100,2,[],[499],,,00:00:00,0.2758756999974139,0.0002758756999974139
Earth Mover's Distance,Ceravolo,sudden_trace_noise20_1000_cb,100,2,[np.int64(448)],[499],1.0,51.0,00:00:00,0.4921011000114959,0.0004921011000114958
Earth Mover's Distance,Ceravolo,sudden_trace_noise20_1000_cp,100,2,[np.int64(444)],[499],1.0,55.0,00:00:00,0.7717747999995481,0.0007717747999995481
Earth Mover's Distance,Ceravolo,sudden_trace_noise5_1000_IRO,100,2,[np.int64(444)],[499],1.0,55.0,00:00:01,1.0123902999912389,0.0010123902999912388
Earth Mover's Distance,Ceravolo,sudden_trace_noise0_1000_IRO,100,2,[np.int64(448)],[499],1.0,51.0,00:00:00,0.8377089999848977,0.0008377089999848977
Earth Mover's Distance,Ostovar,Atomic_Skip_output_Skip,100,2,"[np.int64(964), np.int64(1138), np.int64(1648), np.int64(1952)]","[999, 1999]",0.6666666666666666,41.0,00:03:06,186.18710449998616,0.06208306252083567
Earth Mover's Distance,Ostovar,Atomic_Loop_output_Loop,100,2,"[np.int64(962), np.int64(1932), np.int64(2310)]","[999, 1999]",0.8,52.0,00:03:10,190.28384380001808,0.0634490976325502
Earth Mover's Distance,Ostovar,Composite_IRO_output_IRO_5,100,2,"[np.int64(202), np.int64(692), np.int64(950), np.int64(1944), np.int64(2802)]","[999, 1999]",0.5714285714285715,52.0,00:03:28,208.89396660000784,0.06965454038012932
Earth Mover's Distance,Ostovar,Atomic_ParallelToSequence_output_ParallelToSequence_2,100,2,"[np.int64(942), np.int64(1948), np.int64(2702)]","[999, 1999]",0.8,54.0,00:03:48,228.29468319998705,0.07612360226741816
Earth Mover's Distance,Ostovar,Atomic_SerialMove_output_SerialMove,100,2,"[np.int64(152), np.int64(950), np.int64(1384), np.int64(1950)]","[999, 1999]",0.6666666666666666,49.0,00:03:32,212.34365630001412,0.07080482037346253
Earth Mover's Distance,Ceravolo,sudden_trace_noise0_1000_pm,100,2,[],[499],,,00:00:00,0.3910269000043627,0.0003910269000043627
Earth Mover's Distance,Ceravolo,sudden_trace_noise5_1000_cb,100,2,[np.int64(448)],[499],1.0,51.0,00:00:00,0.6119181000103708,0.0006119181000103708
Earth Mover's Distance,Ceravolo,sudden_trace_noise0_1000_cp,100,2,[np.int64(442)],[499],1.0,57.0,00:00:00,0.4910045999858994,0.0004910045999858994
Earth Mover's Distance,Ostovar,Atomic_Swap_output_Swap,100,2,"[np.int64(930), np.int64(1938)]","[999, 1999]",1.0,65.0,00:03:02,182.87095809998573,0.06097731180392989
Earth Mover's Distance,Ceravolo,sudden_trace_noise15_1000_ROI,100,2,[np.int64(478)],[499],1.0,21.0,00:00:01,1.0635954999888781,0.001063595499988878
Earth Mover's Distance,Ceravolo,sudden_trace_noise10_1000_cp,100,2,[np.int64(448)],[499],1.0,51.0,00:00:00,0.7038113000162411,0.0007038113000162412
Earth Mover's Distance,Ostovar,Atomic_ParallelMove_output_ParallelMove,100,2,"[np.int64(612), np.int64(938), np.int64(1946)]","[999, 1999]",0.8,57.0,00:03:33,213.44290729999193,0.0711713595531817
Earth Mover's Distance,Ceravolo,sudden_trace_noise5_1000_lp,100,2,[np.int64(454)],[499],1.0,45.0,00:00:01,1.3935070000006817,0.0013935070000006817
Earth Mover's Distance,Ceravolo,sudden_trace_noise5_1000_rp,100,2,[],[499],,,00:00:00,0.4678102000034414,0.0004678102000034414
Earth Mover's Distance,Ostovar,Atomic_ConditionalToSequence_output_ConditionalToSequence_2,100,2,"[np.int64(952), np.int64(1326), np.int64(1956), np.int64(2570)]","[999, 1999]",0.6666666666666666,45.0,00:03:23,203.16195189999416,0.06774323171056824
Earth Mover's Distance,Ceravolo,sudden_trace_noise0_1000_lp,100,2,[np.int64(454)],[499],1.0,45.0,00:00:01,1.2386079000134487,0.0012386079000134486
Earth Mover's Distance,Ceravolo,sudden_trace_noise15_1000_cd,100,2,[],[499],,,00:00:00,0.43804249999811873,0.00043804249999811873
Earth Mover's Distance,Ceravolo,sudden_trace_noise5_1000_ROI,100,2,[np.int64(492)],[499],1.0,7.0,00:00:00,0.8270981999812648,0.0008270981999812648
Earth Mover's Distance,Ostovar,Composite_OIR_output_OIR,100,2,"[np.int64(950), np.int64(1588), np.int64(1938), np.int64(2770)]","[999, 1999]",0.6666666666666666,55.0,00:02:55,175.42803870001808,0.05849551140380729
Earth Mover's Distance,Ostovar,Atomic_Substitute_output_Substitute_2,100,2,"[np.int64(946), np.int64(1530), np.int64(1942), np.int64(2554)]","[999, 1999]",0.6666666666666666,55.0,00:03:05,185.86578979998012,0.061975921907295804
Earth Mover's Distance,Ostovar,Nested_RIO_output_RIO,100,2,"[np.int64(954), np.int64(1940), np.int64(2486)]","[999, 1999]",0.8,52.0,00:04:19,259.21537629998056,0.08643393674557538
Earth Mover's Distance,Ceravolo,sudden_trace_noise10_1000_IRO,100,2,[np.int64(448)],[499],1.0,51.0,00:00:01,1.1768420000153128,0.0011768420000153128
Earth Mover's Distance,Ostovar,Atomic_ParallelMove_output_ParallelMove_5,100,2,"[np.int64(924), np.int64(1942), np.int64(2494)]","[999, 1999]",0.8,66.0,00:03:48,228.3026296000171,0.07612625195065592
Earth Mover's Distance,Ceravolo,sudden_trace_noise10_1000_pm,100,2,[],[499],,,00:00:00,0.5161118999822065,0.0005161118999822066
Earth Mover's Distance,Ostovar,Atomic_SerialMove_output_SerialMove_5,100,2,"[np.int64(944), np.int64(1384), np.int64(1950)]","[999, 1999]",0.8,52.0,00:03:49,229.8514338999812,0.07664269219739286
Earth Mover's Distance,Ceravolo,sudden_trace_noise15_1000_rp,100,2,[],[499],,,00:00:00,0.6081803000124637,0.0006081803000124637
Earth Mover's Distance,Ceravolo,sudden_trace_noise0_1000_rp,100,2,[],[499],,,00:00:00,0.3990924000099767,0.0003990924000099767
Earth Mover's Distance,Ostovar,Atomic_Loop_output_Loop_2,100,2,"[np.int64(956), np.int64(1932)]","[999, 1999]",1.0,55.0,00:03:20,200.06493999998202,0.06671055018338846
Earth Mover's Distance,Ceravolo,sudden_trace_noise15_1000_lp,100,2,[np.int64(454)],[499],1.0,45.0,00:00:01,1.7109850999841,0.0017109850999841001
Earth Mover's Distance,Ostovar,Atomic_ConditionalRemoval_output_ConditionalRemoval,100,2,"[np.int64(1348), np.int64(2490)]","[999, 1999]",,,00:02:40,160.24250789999496,0.053431979959984985
Earth Mover's Distance,Ceravolo,sudden_trace_noise0_1000_OIR,100,2,[np.int64(446)],[499],1.0,53.0,00:00:02,2.3210225000220817,0.0023210225000220817
Earth Mover's Distance,Ostovar,Composite_OIR_output_OIR_2,100,2,"[np.int64(944), np.int64(1590), np.int64(1938), np.int64(2770)]","[999, 1999]",0.6666666666666666,58.0,00:03:03,183.0643420999986,0.061041794631543383
Earth Mover's Distance,Ceravolo,sudden_trace_noise5_1000_pl,100,2,[],[499],,,00:00:00,0.38190410000970587,0.0003819041000097059
Earth Mover's Distance,Ostovar,Atomic_ConditionalToSequence_output_ConditionalToSequence_5,100,2,"[np.int64(964), np.int64(1326), np.int64(1954), np.int64(2632)]","[999, 1999]",0.6666666666666666,40.0,00:03:38,218.1726332999824,0.07274846058685643
Earth Mover's Distance,Ceravolo,sudden_trace_noise0_1000_cf,100,2,[],[499],,,00:00:00,0.38135719997808337,0.0003813571999780834
Earth Mover's Distance,Ceravolo,sudden_trace_noise15_1000_cb,100,2,[np.int64(452)],[499],1.0,47.0,00:00:00,0.7740391000115778,0.0007740391000115778
Earth Mover's Distance,Ostovar,Nested_ORI_output_ORI,100,2,"[np.int64(242), np.int64(936), np.int64(1932)]","[999, 1999]",0.8,65.0,00:04:16,256.60504139997647,0.08556353497831826
Earth Mover's Distance,Ceravolo,sudden_trace_noise15_1000_re,100,2,[np.int64(450)],[499],1.0,49.0,00:00:00,0.6954239000042435,0.0006954239000042435
Earth Mover's Distance,Ostovar,Atomic_Substitute_output_Substitute_5,100,2,"[np.int64(938), np.int64(1518), np.int64(1938), np.int64(2324)]","[999, 1999]",0.6666666666666666,61.0,00:03:16,196.55570830000215,0.06554041623874697
Earth Mover's Distance,Ostovar,Atomic_SerialRemoval_output_SerialRemoval_2,100,2,"[np.int64(924), np.int64(1948)]","[999, 1999]",1.0,63.0,00:02:48,168.73682130000088,0.05626436188729606
Earth Mover's Distance,Ostovar,Nested_IOR_output_IOR_5,100,2,"[np.int64(922), np.int64(1390), np.int64(1878)]","[999, 1999]",0.8,99.0,00:06:29,389.1864108000009,0.1297720609536515
