Algorithm,Log Source,Log,Window Size,SW Step Size,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),Seconds per Case
Maaradji Runs,Ostovar,Nested_RIO_output_RIO_2,300,2,[],"[999, 1999]",,,00:07:40,460.1935131000064,0.15344898736245627
Maaradji Runs,Ceravolo,sudden_trace_noise15_1000_cp,300,2,[498],[499],1.0,1.0,00:00:04,4.075556600000709,0.004075556600000709
Maaradji Runs,Ceravolo,sudden_trace_noise20_1000_rp,300,2,[498],[499],1.0,1.0,00:00:04,4.074330299990834,0.0040743302999908335
Maaradji Runs,Ostovar,Atomic_SerialMove_output_SerialMove_5,300,2,[],"[999, 1999]",,,00:04:27,267.9996469000034,0.08936300330110152
Maaradji Runs,Ostovar,Atomic_ParallelToSequence_output_ParallelToSequence_5,300,2,[],"[999, 1999]",,,00:04:42,282.72388469999714,0.09427271913971229
Maaradji Runs,Ostovar,Atomic_Substitute_output_Substitute_5,300,2,[],"[999, 1999]",,,00:03:42,222.99710219999542,0.07435715311770438
Maaradji Runs,Ostovar,Atomic_Loop_output_Loop_5,300,2,[],"[999, 1999]",,,00:03:33,213.39925109999604,0.07115680263421008
Maaradji Runs,Ceravolo,sudden_trace_noise20_1000_pl,300,2,[],[499],,,00:00:03,3.1966524999879766,0.0031966524999879767
Maaradji Runs,Ceravolo,sudden_trace_noise10_1000_cd,300,2,[],[499],,,00:00:03,3.278720800008159,0.0032787208000081593
Maaradji Runs,Ceravolo,sudden_trace_noise5_1000_sw,300,2,[498],[499],1.0,1.0,00:00:03,3.730599800008349,0.0037305998000083493
Maaradji Runs,Ostovar,Atomic_SerialMove_output_SerialMove,300,2,[],"[999, 1999]",,,00:07:11,431.9767358000099,0.14404025868623205
Maaradji Runs,Ceravolo,sudden_trace_noise0_1000_cb,300,2,[498],[499],1.0,1.0,00:00:03,3.687639900002978,0.003687639900002978
Maaradji Runs,Bose,bose_log,300,2,"[1196, 2370, 3552, 4708]","[1199, 2399, 3599, 4799]",1.0,42.5,00:00:21,21.14705369999865,0.003524508949999775
Maaradji Runs,Ceravolo,sudden_trace_noise15_1000_re,300,2,[498],[499],1.0,1.0,00:00:03,3.5984954000014113,0.0035984954000014115
Maaradji Runs,Ceravolo,sudden_trace_noise0_1000_IOR,300,2,[498],[499],1.0,1.0,00:00:05,5.601314300001832,0.005601314300001832
