Algorithm,Log Source,Log,P-Value,Min Adaptive Window,Max Adaptive Window,ADWIN Step Size,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),Seconds per Case
Martjushev ADWIN J,Ceravolo,sudden_trace_noise15_1000_cb,0.4,200,500,20,[459],[499],1.0,40.0,00:00:04,4.967514300020412,0.004967514300020411
Martjushev ADWIN J,Ostovar,Composite_RIO_output_RIO_2,0.4,200,500,10,"[919, 1950]","[999, 1999]",1.0,64.5,00:08:18,498.5386397000111,0.16623495821941017
Martjushev ADWIN J,Ceravolo,sudden_trace_noise0_1000_IRO,0.4,200,500,50,[399],[499],1.0,100.0,00:00:04,4.49921720000566,0.004499217200005659
Martjushev ADWIN J,Ostovar,Nested_ROI_output_ROI,0.4,200,500,20,"[994, 1910]","[999, 1999]",1.0,47.0,00:04:49,289.9903531000018,0.09669568292764315
Martjushev ADWIN J,Ceravolo,sudden_trace_noise5_1000_RIO,0.4,200,500,10,[],[499],,,00:00:09,9.063989200018113,0.009063989200018113
Martjushev ADWIN J,Ostovar,Composite_IOR_output_IOR_2,0.4,200,500,50,"[899, 1750]","[999, 1999]",0.5,100.0,00:04:12,252.43674149998697,0.08417363837945548
Martjushev ADWIN J,Ostovar,Atomic_Skip_output_Skip_5,0.4,200,500,20,"[829, 1910]","[999, 1999]",1.0,129.5,00:05:50,350.36969680001494,0.11682884188063186
Martjushev ADWIN J,Ceravolo,sudden_trace_noise15_1000_cp,0.4,200,500,10,[449],[499],1.0,50.0,00:00:06,6.032838499988429,0.00603283849998843
Martjushev ADWIN J,Ceravolo,sudden_trace_noise0_1000_cd,0.4,200,500,20,[],[499],,,00:00:06,6.029852900013793,0.006029852900013793
Martjushev ADWIN J,Ceravolo,sudden_trace_noise10_1000_lp,0.4,200,500,50,[399],[499],1.0,100.0,00:00:04,4.9245172000082675,0.0049245172000082675
Martjushev ADWIN J,Ostovar,Composite_RIO_output_RIO_2,0.4,200,500,50,"[949, 1975]","[999, 1999]",1.0,37.0,00:05:56,356.55025000000023,0.118889713237746
Martjushev ADWIN J,Ostovar,Atomic_SerialRemoval_output_SerialRemoval_2,0.4,200,500,20,[909],"[999, 1999]",0.6666666666666666,90.0,00:05:46,346.5147486999922,0.11554343071023414
Martjushev ADWIN J,Ostovar,Atomic_Loop_output_Loop_5,0.4,200,500,50,"[949, 1900]","[999, 1999]",1.0,74.5,00:04:49,289.1472589999903,0.09641455785261431
Martjushev ADWIN J,Ceravolo,sudden_trace_noise5_1000_IOR,0.4,200,500,50,[],[499],,,00:00:05,5.132641000003787,0.005132641000003787
