Algorithm,Log Source,Log,Complete-Window Size,Detection-Window Size,Stable Period,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),Seconds per Case
LCDD,Ceravolo,sudden_trace_noise20_1000_pm,800,800,20,[],[499],,,00:00:00,0.01112779999994018,1.112779999994018e-05
LCDD,Ostovar,Nested_ROI_output_ROI_5,800,800,20,"[800, 1602, 2405]","[999, 1999]",0.4,199.0,00:00:00,0.1250279999999293,4.1689896632187165e-05
LCDD,Ceravolo,sudden_trace_noise15_1000_cd,800,800,100,[],[499],,,00:00:00,0.014719300000024305,1.4719300000024305e-05
LCDD,Ostovar,Nested_IRO_output_IRO,100,100,5,"[721, 847, 947, 1824, 1924, 2024]","[999, 1999]",0.5,38.5,00:00:00,0.4286131999999725,0.00014291870623540264
LCDD,Ceravolo,sudden_trace_noise20_1000_lp,800,800,200,[],[499],,,00:00:00,0.018427100000053542,1.842710000005354e-05
LCDD,Ostovar,Atomic_Loop_output_Loop,200,200,100,[915],"[999, 1999]",0.6666666666666666,84.0,00:00:00,0.16480109999997694,5.495201733910535e-05
LCDD,Ostovar,Nested_OIR_output_OIR_5,600,600,10,"[601, 1201, 1801, 2401]","[999, 1999]",0.3333333333333333,198.0,00:00:00,0.10910110000008899,3.637915971993631e-05
LCDD,Ostovar,Atomic_Skip_output_Skip_5,100,100,10,"[100, 202, 303, 404, 507, 607, 708, 808, 908, 1008, 1111, 1211, 1312, 1413, 1517, 1618, 1719, 1820, 1920, 2021, 2124, 2224, 2325, 2425, 2528, 2629, 2733, 2833, 2936]","[999, 1999]",0.12903225806451613,15.5,00:00:00,0.3438716000000568,0.00011466208736247308
LCDD,Ceravolo,sudden_trace_noise20_1000_lp,200,200,150,[448],[499],1.0,51.0,00:00:00,0.009578599999940707,9.578599999940706e-06
LCDD,Ostovar,Nested_RIO_output_RIO_5,300,300,150,"[302, 602, 902, 1205, 1509, 1809, 2110, 2410, 2715]","[999, 1999]",0.3636363636363636,104.0,00:00:00,0.13903320000008534,4.63598532844566e-05
LCDD,Ostovar,Atomic_Skip_output_Skip,600,600,150,[919],"[999, 1999]",0.6666666666666666,80.0,00:00:00,0.17777380000006815,5.927769256421079e-05
LCDD,Ceravolo,sudden_trace_noise10_1000_pl,300,300,20,[],[499],,,00:00:00,0.012569299999995565,1.2569299999995565e-05
LCDD,Ostovar,Atomic_ConditionalMove_output_ConditionalMove_5,800,800,50,"[801, 1602, 2402]","[999, 1999]",0.4,198.0,00:00:00,0.12729539999986628,4.244594864950526e-05
LCDD,Ceravolo,sudden_trace_noise15_1000_RIO,600,600,50,[],[499],,,00:00:00,0.011570900000151596,1.1570900000151596e-05
LCDD,Ostovar,Composite_IOR_output_IOR_2,1200,1200,10,"[1200, 2401]","[999, 1999]",,,00:00:00,0.20913089999999102,6.973354451483528e-05
LCDD,Ostovar,Nested_ORI_output_ORI_5,600,600,5,"[601, 1201, 1801, 2406]","[999, 1999]",0.3333333333333333,198.0,00:00:00,0.14060899999981302,4.6885295098303774e-05
