Algorithm,Log Source,Log,MRID,Epsilon,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),Seconds per Case
Zheng DBSCAN,Ostovar,Composite_IRO_output_IRO_5,800,80.0,[np.float64(1486.6426931905125)],"[999, 1999]",,,00:00:06,6.998226499999987,0.0023335200066688854
Zheng DBSCAN,Ostovar,Composite_IRO_output_IRO_5,800,160.0,[np.float64(1486.6426931905125)],"[999, 1999]",,,00:00:06,6.998226499999987,0.0023335200066688854
Zheng DBSCAN,Ostovar,Composite_IRO_output_IRO_5,800,240.0,[np.float64(1486.6426931905125)],"[999, 1999]",,,00:00:06,6.998226499999987,0.0023335200066688854
Zheng DBSCAN,Ostovar,Composite_IRO_output_IRO_5,800,320.0,[np.float64(1486.6426931905125)],"[999, 1999]",,,00:00:06,6.998226499999987,0.0023335200066688854
Zheng DBSCAN,Ostovar,Composite_IRO_output_IRO_5,800,400.0,[np.float64(1486.6426931905125)],"[999, 1999]",,,00:00:06,6.998226499999987,0.0023335200066688854
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_cd,700,70.0,[],[499],,,00:00:00,0.14628390000001446,0.00014628390000001446
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_cd,700,140.0,[],[499],,,00:00:00,0.14628390000001446,0.00014628390000001446
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_cd,700,210.0,[],[499],,,00:00:00,0.14628390000001446,0.00014628390000001446
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_cd,700,280.0,[],[499],,,00:00:00,0.14628390000001446,0.00014628390000001446
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_cd,700,350.0,[],[499],,,00:00:00,0.14628390000001446,0.00014628390000001446
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_OIR,400,40.0,[np.float64(448.0)],[499],1.0,51.0,00:00:00,0.872677699999997,0.000872677699999997
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_OIR,400,80.0,[np.float64(448.0)],[499],1.0,51.0,00:00:00,0.872677699999997,0.000872677699999997
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_OIR,400,120.0,[np.float64(448.0)],[499],1.0,51.0,00:00:00,0.872677699999997,0.000872677699999997
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_OIR,400,160.0,[np.float64(448.0)],[499],1.0,51.0,00:00:00,0.872677699999997,0.000872677699999997
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_OIR,400,200.0,[np.float64(448.0)],[499],1.0,51.0,00:00:00,0.872677699999997,0.000872677699999997
Zheng DBSCAN,Ostovar,Atomic_ParallelMove_output_ParallelMove_2,600,60.0,[np.float64(1518.1061588330633)],"[999, 1999]",,,00:00:06,6.827954299999988,0.0022767436812270716
Zheng DBSCAN,Ostovar,Atomic_ParallelMove_output_ParallelMove_2,600,120.0,[np.float64(1518.1061588330633)],"[999, 1999]",,,00:00:06,6.827954299999988,0.0022767436812270716
Zheng DBSCAN,Ostovar,Atomic_ParallelMove_output_ParallelMove_2,600,180.0,[np.float64(1518.1061588330633)],"[999, 1999]",,,00:00:06,6.827954299999988,0.0022767436812270716
Zheng DBSCAN,Ostovar,Atomic_ParallelMove_output_ParallelMove_2,600,240.0,[np.float64(1518.1061588330633)],"[999, 1999]",,,00:00:06,6.827954299999988,0.0022767436812270716
Zheng DBSCAN,Ostovar,Atomic_ParallelMove_output_ParallelMove_2,600,300.0,[np.float64(1518.1061588330633)],"[999, 1999]",,,00:00:06,6.827954299999988,0.0022767436812270716
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_rp,800,80.0,[],[499],,,00:00:00,0.18839780000001838,0.00018839780000001838
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_rp,800,160.0,[],[499],,,00:00:00,0.18839780000001838,0.00018839780000001838
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_rp,800,240.0,[],[499],,,00:00:00,0.18839780000001838,0.00018839780000001838
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_rp,800,320.0,[],[499],,,00:00:00,0.18839780000001838,0.00018839780000001838
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_rp,800,400.0,[],[499],,,00:00:00,0.18839780000001838,0.00018839780000001838
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_IRO,500,50.0,[],[499],,,00:00:00,0.2043060999999966,0.0002043060999999966
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_IRO,500,100.0,[],[499],,,00:00:00,0.2043060999999966,0.0002043060999999966
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_IRO,500,150.0,[],[499],,,00:00:00,0.2043060999999966,0.0002043060999999966
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_IRO,500,200.0,[],[499],,,00:00:00,0.2043060999999966,0.0002043060999999966
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_IRO,500,250.0,[],[499],,,00:00:00,0.2043060999999966,0.0002043060999999966
Zheng DBSCAN,Ceravolo,sudden_trace_noise20_1000_cb,800,80.0,[],[499],,,00:00:00,0.16940410000000838,0.0001694041000000084
Zheng DBSCAN,Ceravolo,sudden_trace_noise20_1000_cb,800,160.0,[],[499],,,00:00:00,0.16940410000000838,0.0001694041000000084
Zheng DBSCAN,Ceravolo,sudden_trace_noise20_1000_cb,800,240.0,[],[499],,,00:00:00,0.16940410000000838,0.0001694041000000084
Zheng DBSCAN,Ceravolo,sudden_trace_noise20_1000_cb,800,320.0,[],[499],,,00:00:00,0.16940410000000838,0.0001694041000000084
Zheng DBSCAN,Ceravolo,sudden_trace_noise20_1000_cb,800,400.0,[],[499],,,00:00:00,0.16940410000000838,0.0001694041000000084
