Algorithm,Log Source,Log,MRID,Epsilon,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),Seconds per Case,Complete-Window Size,Detection-Window Size,Stable Period
Zheng DBSCAN,Ostovar,Composite_IRO_output_IRO_5,800.0,80.0,[np.float64(1486.6426931905125)],"[999, 1999]",,,00:00:06,6.998226499999987,0.0023335200066688,,,
Zheng DBSCAN,Ostovar,Composite_IRO_output_IRO_5,800.0,160.0,[np.float64(1486.6426931905125)],"[999, 1999]",,,00:00:06,6.998226499999987,0.0023335200066688,,,
Zheng DBSCAN,Ostovar,Composite_IRO_output_IRO_5,800.0,240.0,[np.float64(1486.6426931905125)],"[999, 1999]",,,00:00:06,6.998226499999987,0.0023335200066688,,,
Zheng DBSCAN,Ostovar,Composite_IRO_output_IRO_5,800.0,320.0,[np.float64(1486.6426931905125)],"[999, 1999]",,,00:00:06,6.998226499999987,0.0023335200066688,,,
Zheng DBSCAN,Ostovar,Composite_IRO_output_IRO_5,800.0,400.0,[np.float64(1486.6426931905125)],"[999, 1999]",,,00:00:06,6.998226499999987,0.0023335200066688,,,
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_cd,700.0,70.0,[],[499],,,00:00:00,0.1462839000000144,0.0001462839,,,
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_cd,700.0,140.0,[],[499],,,00:00:00,0.1462839000000144,0.0001462839,,,
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_cd,700.0,210.0,[],[499],,,00:00:00,0.1462839000000144,0.0001462839,,,
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_cd,700.0,280.0,[],[499],,,00:00:00,0.1462839000000144,0.0001462839,,,
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_cd,700.0,350.0,[],[499],,,00:00:00,0.1462839000000144,0.0001462839,,,
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_OIR,400.0,40.0,[np.float64(448.0)],[499],1.0,51.0,00:00:00,0.872677699999997,0.0008726776999999,,,
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_OIR,400.0,80.0,[np.float64(448.0)],[499],1.0,51.0,00:00:00,0.872677699999997,0.0008726776999999,,,
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_OIR,400.0,120.0,[np.float64(448.0)],[499],1.0,51.0,00:00:00,0.872677699999997,0.0008726776999999,,,
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_OIR,400.0,160.0,[np.float64(448.0)],[499],1.0,51.0,00:00:00,0.872677699999997,0.0008726776999999,,,
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_OIR,400.0,200.0,[np.float64(448.0)],[499],1.0,51.0,00:00:00,0.872677699999997,0.0008726776999999,,,
Zheng DBSCAN,Ostovar,Atomic_ParallelMove_output_ParallelMove_2,600.0,60.0,[np.float64(1518.1061588330633)],"[999, 1999]",,,00:00:06,6.827954299999988,0.002276743681227,,,
Zheng DBSCAN,Ostovar,Atomic_ParallelMove_output_ParallelMove_2,600.0,120.0,[np.float64(1518.1061588330633)],"[999, 1999]",,,00:00:06,6.827954299999988,0.002276743681227,,,
Zheng DBSCAN,Ostovar,Atomic_ParallelMove_output_ParallelMove_2,600.0,180.0,[np.float64(1518.1061588330633)],"[999, 1999]",,,00:00:06,6.827954299999988,0.002276743681227,,,
Zheng DBSCAN,Ostovar,Atomic_ParallelMove_output_ParallelMove_2,600.0,240.0,[np.float64(1518.1061588330633)],"[999, 1999]",,,00:00:06,6.827954299999988,0.002276743681227,,,
Zheng DBSCAN,Ostovar,Atomic_ParallelMove_output_ParallelMove_2,600.0,300.0,[np.float64(1518.1061588330633)],"[999, 1999]",,,00:00:06,6.827954299999988,0.002276743681227,,,
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_rp,800.0,80.0,[],[499],,,00:00:00,0.1883978000000183,0.0001883978,,,
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_rp,800.0,160.0,[],[499],,,00:00:00,0.1883978000000183,0.0001883978,,,
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_rp,800.0,240.0,[],[499],,,00:00:00,0.1883978000000183,0.0001883978,,,
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_rp,800.0,320.0,[],[499],,,00:00:00,0.1883978000000183,0.0001883978,,,
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_rp,800.0,400.0,[],[499],,,00:00:00,0.1883978000000183,0.0001883978,,,
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_IRO,500.0,50.0,[],[499],,,00:00:00,0.2043060999999966,0.0002043060999999,,,
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_IRO,500.0,100.0,[],[499],,,00:00:00,0.2043060999999966,0.0002043060999999,,,
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_IRO,500.0,150.0,[],[499],,,00:00:00,0.2043060999999966,0.0002043060999999,,,
