Algorithm,Log Source,Log,P-Value,Min Adaptive Window,Max Adaptive Window,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),Seconds per Case,Complete-Window Size,Detection-Window Size,Stable Period,MRID,Epsilon,Window Size,SW Step Size,ADWIN Step Size
Process Graph Metrics,Ceravolo,sudden_trace_noise15_1000_cb,0.05,400.0,500.0,[601],[499],1.0,102.0,00:00:00,0.0703928000002633,7.039280000026338e-05,,,,,,,,
Process Graph Metrics,Ostovar,Atomic_ParallelRemoval_output_ParallelRemoval_2,0.1,400.0,500.0,[],"[999, 1999]",,,00:00:01,1.604059799999959,0.0016040597999999,,,,,,,,
Process Graph Metrics,Ostovar,Atomic_Substitute_output_Substitute_2,0.1,100.0,500.0,[],"[999, 1999]",,,00:00:02,2.534406200000376,0.0025344062000003,,,,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise5_1000_ROI,0.005,400.0,500.0,[600],[499],1.0,101.0,00:00:00,0.1250565999998798,0.0001250565999998,,,,,,,,
Process Graph Metrics,Ostovar,Composite_IRO_output_IRO_2,0.1,300.0,700.0,[],"[999, 1999]",,,00:00:01,1.96759049999946,0.0019675904999994,,,,,,,,
LCDD,Ostovar,Composite_RIO_output_RIO_2,,,,"[404, 806]","[999, 1999]",0.5,193.0,00:00:00,0.083953699999256,8.395369999925606e-05,400.0,400.0,50.0,,,,,
Zheng DBSCAN,Ostovar,Atomic_Swap_output_Swap,,,,[],"[999, 1999]",,,00:00:01,1.227733900000203,0.0012277339000002,,,,600.0,60.0,,,
Zheng DBSCAN,Ostovar,Atomic_Swap_output_Swap,,,,[],"[999, 1999]",,,00:00:01,1.227733900000203,0.0012277339000002,,,,600.0,120.0,,,
Zheng DBSCAN,Ostovar,Atomic_Swap_output_Swap,,,,[],"[999, 1999]",,,00:00:01,1.227733900000203,0.0012277339000002,,,,600.0,180.0,,,
Zheng DBSCAN,Ostovar,Atomic_Swap_output_Swap,,,,[],"[999, 1999]",,,00:00:01,1.227733900000203,0.0012277339000002,,,,600.0,240.0,,,
Zheng DBSCAN,Ostovar,Atomic_Swap_output_Swap,,,,[],"[999, 1999]",,,00:00:01,1.227733900000203,0.0012277339000002,,,,600.0,300.0,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise0_1000_cb,0.05,400.0,600.0,[600],[499],1.0,101.0,00:00:00,0.0824265000001105,8.242650000011054e-05,,,,,,,,
LCDD,Ceravolo,sudden_trace_noise15_1000_re,,,,[447],[499],1.0,52.0,00:00:00,0.020115799999985,2.011579999998503e-05,400.0,400.0,200.0,,,,,
Process Graph Metrics,Ostovar,Nested_RIO_output_RIO_2,0.0001,400.0,600.0,[],"[999, 1999]",,,00:00:02,2.1961536999997406,0.0021961536999997,,,,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise10_1000_ROI,0.005,200.0,400.0,[478],[499],1.0,21.0,00:00:01,1.3384722000000693,0.0013384722,,,,,,,,
Process Graph Metrics,Ostovar,Atomic_ParallelMove_output_ParallelMove,0.005,400.0,400.0,[],"[999, 1999]",,,00:00:01,1.4080591000001732,0.0014080591000001,,,,,,,,
LCDD,Ceravolo,sudden_trace_noise5_1000_sw,,,,"[448, 601]",[499],0.6666666666666666,51.0,00:00:00,0.0213365999998131,2.1336599999813187e-05,100.0,100.0,20.0,,,,,
LCDD,Ostovar,Nested_ROI_output_ROI_2,,,,"[100, 200, 300, 400, 504, 606, 706, 808, 918]","[999, 1999]",0.1818181818181818,81.0,00:00:00,0.0653369999999995,6.533699999999954e-05,100.0,100.0,5.0,,,,,
LCDD,Ceravolo,sudden_trace_noise20_1000_pm,,,,[448],[499],1.0,51.0,00:00:00,0.0115864999997938,1.1586499999793886e-05,300.0,300.0,10.0,,,,,
Zheng DBSCAN,Ostovar,Atomic_SerialRemoval_output_SerialRemoval_2,,,,[np.float64(792.7415730337078)],"[999, 1999]",,,00:00:01,1.5105478999994375,0.0015105478999994,,,,600.0,60.0,,,
Zheng DBSCAN,Ostovar,Atomic_SerialRemoval_output_SerialRemoval_2,,,,[np.float64(792.7415730337078)],"[999, 1999]",,,00:00:01,1.5105478999994375,0.0015105478999994,,,,600.0,120.0,,,
Zheng DBSCAN,Ostovar,Atomic_SerialRemoval_output_SerialRemoval_2,,,,[np.float64(792.7415730337078)],"[999, 1999]",,,00:00:01,1.5105478999994375,0.0015105478999994,,,,600.0,180.0,,,
Zheng DBSCAN,Ostovar,Atomic_SerialRemoval_output_SerialRemoval_2,,,,[],"[999, 1999]",,,00:00:01,1.5105478999994375,0.0015105478999994,,,,600.0,240.0,,,
Zheng DBSCAN,Ostovar,Atomic_SerialRemoval_output_SerialRemoval_2,,,,[],"[999, 1999]",,,00:00:01,1.5105478999994375,0.0015105478999994,,,,600.0,300.0,,,
LCDD,Ceravolo,sudden_trace_noise10_1000_cd,,,,[],[499],,,00:00:00,0.1504615999992893,0.0001504615999992,100.0,100.0,5.0,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise10_1000_rp,0.1,300.0,700.0,[510],[499],1.0,11.0,00:00:01,1.57035470000028,0.0015703547000002,,,,,,,,
LCDD,Ostovar,Nested_IOR_output_IOR,,,,[],"[999, 1999]",,,00:00:00,0.046911700000237,4.691170000023704e-05,1200.0,1200.0,150.0,,,,,
LCDD,Ostovar,Nested_ORI_output_ORI,,,,[],"[999, 1999]",,,00:00:00,0.2027479000007588,0.0002027479000007,1200.0,1200.0,100.0,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise5_1000_pl,0.0001,200.0,500.0,[],[499],,,00:00:00,0.5079194999998435,0.0005079194999998,,,,,,,,
Process Graph Metrics,Ostovar,Atomic_ConditionalToSequence_output_ConditionalToSequence_5,0.005,300.0,600.0,[],"[999, 1999]",,,00:00:02,2.270660600000156,0.0022706606000001,,,,,,,,
LCDD,Ostovar,Atomic_Loop_output_Loop,,,,[],"[999, 1999]",,,00:00:00,0.0592505000004166,5.925050000041665e-05,300.0,300.0,100.0,,,,,
LCDD,Ceravolo,sudden_trace_noise5_1000_OIR,,,,[447],[499],1.0,52.0,00:00:00,0.0319662000001699,3.196620000016992e-05,200.0,200.0,150.0,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise10_1000_OIR,0.0001,100.0,600.0,[551],[499],1.0,52.0,00:00:02,2.862347199999931,0.0028623471999999,,,,,,,,
LCDD,Ceravolo,sudden_trace_noise20_1000_pm,,,,[],[499],,,00:00:00,0.0202491000000009,2.0249100000000907e-05,600.0,600.0,5.0,,,,,
Process Graph Metrics,Ostovar,Atomic_ConditionalMove_output_ConditionalMove_5,0.05,200.0,500.0,[],"[999, 1999]",,,00:00:02,2.613728400000582,0.0026137284000005,,,,,,,,
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_sw,,,,[],[499],,,00:00:00,0.1941860000006272,0.0001941860000006,,,,500.0,50.0,,,
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_sw,,,,[],[499],,,00:00:00,0.1941860000006272,0.0001941860000006,,,,500.0,100.0,,,
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_sw,,,,[],[499],,,00:00:00,0.1941860000006272,0.0001941860000006,,,,500.0,150.0,,,
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_sw,,,,[],[499],,,00:00:00,0.1941860000006272,0.0001941860000006,,,,500.0,200.0,,,
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_sw,,,,[],[499],,,00:00:00,0.1941860000006272,0.0001941860000006,,,,500.0,250.0,,,
LCDD,Ceravolo,sudden_trace_noise10_1000_pl,,,,[],[499],,,00:00:00,0.0235678999997617,2.356789999976172e-05,400.0,400.0,50.0,,,,,
Process Graph Metrics,Ostovar,Nested_IRO_output_IRO_5,0.05,200.0,600.0,[],"[999, 1999]",,,00:00:03,3.670731999999589,0.0036707319999995,,,,,,,,
