Algorithm,Log Source,Log,MRID,Epsilon,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),Seconds per Case
Zheng DBSCAN,Ceravolo,sudden_trace_noise20_1000_OIR,300,30.0,[np.float64(448.0)],[499],1.0,51.0,00:00:00,0.21014030000151251,0.00021014030000151253
Zheng DBSCAN,Ceravolo,sudden_trace_noise20_1000_OIR,300,60.0,[np.float64(448.0)],[499],1.0,51.0,00:00:00,0.21014030000151251,0.00021014030000151253
Zheng DBSCAN,Ceravolo,sudden_trace_noise20_1000_OIR,300,90.0,[np.float64(448.0)],[499],1.0,51.0,00:00:00,0.21014030000151251,0.00021014030000151253
Zheng DBSCAN,Ceravolo,sudden_trace_noise20_1000_OIR,300,120.0,[np.float64(448.0)],[499],1.0,51.0,00:00:00,0.21014030000151251,0.00021014030000151253
Zheng DBSCAN,Ceravolo,sudden_trace_noise20_1000_OIR,300,150.0,[np.float64(448.0)],[499],1.0,51.0,00:00:00,0.21014030000151251,0.00021014030000151253
Zheng DBSCAN,Ceravolo,sudden_trace_noise20_1000_IRO,300,30.0,[np.float64(449.0)],[499],1.0,50.0,00:00:00,0.21040600000196719,0.00021040600000196718
Zheng DBSCAN,Ceravolo,sudden_trace_noise20_1000_IRO,300,60.0,[np.float64(449.0)],[499],1.0,50.0,00:00:00,0.21040600000196719,0.00021040600000196718
Zheng DBSCAN,Ceravolo,sudden_trace_noise20_1000_IRO,300,90.0,[np.float64(449.0)],[499],1.0,50.0,00:00:00,0.21040600000196719,0.00021040600000196718
Zheng DBSCAN,Ceravolo,sudden_trace_noise20_1000_IRO,300,120.0,[np.float64(449.0)],[499],1.0,50.0,00:00:00,0.21040600000196719,0.00021040600000196718
Zheng DBSCAN,Ceravolo,sudden_trace_noise20_1000_IRO,300,150.0,[np.float64(449.0)],[499],1.0,50.0,00:00:00,0.21040600000196719,0.00021040600000196718
Zheng DBSCAN,Ceravolo,sudden_trace_noise10_1000_ROI,400,40.0,[np.float64(448.5)],[499],1.0,50.5,00:00:00,0.19241230000261567,0.00019241230000261567
Zheng DBSCAN,Ceravolo,sudden_trace_noise10_1000_ROI,400,80.0,[np.float64(448.5)],[499],1.0,50.5,00:00:00,0.19241230000261567,0.00019241230000261567
Zheng DBSCAN,Ceravolo,sudden_trace_noise10_1000_ROI,400,120.0,[np.float64(448.5)],[499],1.0,50.5,00:00:00,0.19241230000261567,0.00019241230000261567
Zheng DBSCAN,Ceravolo,sudden_trace_noise10_1000_ROI,400,160.0,[np.float64(448.5)],[499],1.0,50.5,00:00:00,0.19241230000261567,0.00019241230000261567
Zheng DBSCAN,Ceravolo,sudden_trace_noise10_1000_ROI,400,200.0,[np.float64(448.5)],[499],1.0,50.5,00:00:00,0.19241230000261567,0.00019241230000261567
Zheng DBSCAN,Ostovar,Nested_ROI_output_ROI_5,600,60.0,[np.float64(1477.0048109965635)],"[999, 1999]",,,00:00:05,5.8953376999998,0.0019657678226074693
Zheng DBSCAN,Ostovar,Nested_ROI_output_ROI_5,600,120.0,[np.float64(1477.0048109965635)],"[999, 1999]",,,00:00:05,5.8953376999998,0.0019657678226074693
Zheng DBSCAN,Ostovar,Nested_ROI_output_ROI_5,600,180.0,[np.float64(1477.0048109965635)],"[999, 1999]",,,00:00:05,5.8953376999998,0.0019657678226074693
Zheng DBSCAN,Ostovar,Nested_ROI_output_ROI_5,600,240.0,[np.float64(1477.0048109965635)],"[999, 1999]",,,00:00:05,5.8953376999998,0.0019657678226074693
Zheng DBSCAN,Ostovar,Nested_ROI_output_ROI_5,600,300.0,[np.float64(1477.0048109965635)],"[999, 1999]",,,00:00:05,5.8953376999998,0.0019657678226074693
Zheng DBSCAN,Ceravolo,sudden_trace_noise20_1000_cd,800,80.0,[],[499],,,00:00:00,0.18068349999884958,0.0001806834999988496
Zheng DBSCAN,Ceravolo,sudden_trace_noise20_1000_cd,800,160.0,[],[499],,,00:00:00,0.18068349999884958,0.0001806834999988496
Zheng DBSCAN,Ceravolo,sudden_trace_noise20_1000_cd,800,240.0,[],[499],,,00:00:00,0.18068349999884958,0.0001806834999988496
Zheng DBSCAN,Ceravolo,sudden_trace_noise20_1000_cd,800,320.0,[],[499],,,00:00:00,0.18068349999884958,0.0001806834999988496
Zheng DBSCAN,Ceravolo,sudden_trace_noise20_1000_cd,800,400.0,[],[499],,,00:00:00,0.18068349999884958,0.0001806834999988496
Zheng DBSCAN,Ceravolo,sudden_trace_noise20_1000_ROI,300,30.0,[np.float64(448.5)],[499],1.0,50.5,00:00:00,0.1677683000016259,0.00016776830000162591
Zheng DBSCAN,Ceravolo,sudden_trace_noise20_1000_ROI,300,60.0,[np.float64(448.5)],[499],1.0,50.5,00:00:00,0.1677683000016259,0.00016776830000162591
Zheng DBSCAN,Ceravolo,sudden_trace_noise20_1000_ROI,300,90.0,[np.float64(448.5)],[499],1.0,50.5,00:00:00,0.1677683000016259,0.00016776830000162591
Zheng DBSCAN,Ceravolo,sudden_trace_noise20_1000_ROI,300,120.0,[np.float64(448.5)],[499],1.0,50.5,00:00:00,0.1677683000016259,0.00016776830000162591
Zheng DBSCAN,Ceravolo,sudden_trace_noise20_1000_ROI,300,150.0,[np.float64(448.5)],[499],1.0,50.5,00:00:00,0.1677683000016259,0.00016776830000162591
